osmid,tx,ty,x,y,time
165339586,0.03302930168835091,-14.865958376927646,251118.8631796064,3809952.261857878,14.865995069261771
165502227,0.8452518340015152,-14.758191430639496,251298.38106399795,3809707.4649721095,14.782376837514459
165336896,0.053263465803099014,-15.570109733837672,251123.45828851787,3809662.7371880435,15.57020083751446
165413890,-0.4992166246486902,-15.402999299423529,251013.9496793528,3809927.535113084,15.411087069261772
566112826,0.7344866161484814,-14.379498732977813,251286.93590838663,3809537.260157151,14.39824483751446
165509720,-0.6809247051840643,-16.243851287429997,250977.8177618538,3809753.105620245,16.25811683751446
566112832,0.4445106039152846,-14.872917720543656,251215.16371446423,3809512.878344336,14.879558837514459
165337764,-11.948336926482266,-0.36604449328202954,247810.0689305307,3812857.325563967,11.953942608185878
165337778,-11.786542767493772,-0.8243430678031953,247770.13979551158,3812724.7474707407,11.815334608185879
165450914,-11.868380291785709,-0.6795793272028048,247698.13598574846,3812763.0006469064,11.887820608185878
165337805,7.17953980009335,-5.691374530490038,252664.02376657716,3811728.31125846,9.16174305399552
165337808,6.876727136871727,-5.435661945451313,252639.87805889096,3811750.932460524,8.76560305399552
165337811,6.541319742315132,-5.145340349667721,252598.3997348164,3811789.4445190486,8.32246305399552
165451799,7.687717557238281,-5.32012025972652,252728.78634846263,3811839.752764636,9.34904705399552
566113784,6.1324291139317655,-4.747261214920936,252481.25025456125,3811898.6605924717,7.7552031488601605
165403442,5.675210752688188,-5.288032602254383,252489.97781351447,3811674.6907611815,7.75701655857024
165403446,6.938217843600942,-4.590456101734433,252705.4071682701,3811904.3812234076,8.3193241352416
165337818,5.322590337605159,-3.9533781345246193,252252.8749951652,3812111.2343726703,6.630170931168001
165450144,5.813078601355629,-3.417024884026019,252359.31154929678,3812225.4053550162,6.7429920572096
165482346,4.435147925891749,-4.132946486381389,252144.0407359242,3811996.939535373,6.0623249487168
165337821,4.9164128447254285,-3.552110841778671,252137.04873656883,3812218.0224827845,6.065361216948481
566113785,5.727176601605251,-4.34847410136059,252366.53984830342,3812006.092862791,7.190951177429761
165337824,4.6288817873067805,-3.3272497631675146,252120.08801453322,3812234.004307495,5.700626069771521
165450142,5.442620808740136,-3.0105289045884294,252245.5846605912,3812331.5590539393,6.219759284176
165396345,4.464050968017538,-3.817279872707446,252048.89106072547,3812157.4949058774,5.8736170007616
566113796,4.246685274775355,-2.9555855776317537,252023.68997755717,3812324.102677173,5.173956119808
165337834,3.842303870276566,-2.5411853094637795,251907.2174086231,3812432.6763828555,4.606617176256
165498109,3.1956631525126054,-2.9829885833874883,251799.53757636397,3812316.878262238,4.37155394258688
165450137,4.701058783536044,-2.144080209064805,252014.1409740029,3812547.119182292,5.1669172268544
165450136,4.288848695592779,-1.6659609750196405,251897.11871631196,3812653.587665744,4.60104869611008
165496495,2.7837586094188302,-2.5959022566067285,251684.4491400417,3812424.8407951756,3.8063132453030404
165450133,3.1003358886462005,-0.5070267677536896,251665.59544791628,3812867.9833097295,3.1415217277056002
165337866,-0.041906897330740975,1.1690563601633652,251104.1821211593,3813181.7102342565,1.1698072325312001
165450120,0.49873919927121774,1.736091084775726,251208.54752993968,3813293.925681299,1.8063092325312
165498125,-0.3830134878605181,0.35892947846814455,250997.68223229644,3813065.7896327637,0.5249092325312
165337870,-0.5922311578057906,1.5890907968277277,250989.03715820287,3813288.9186036508,1.6958618177312001
2402119753,0.4375479469382049,0.4755925479169768,251219.23783249507,3813074.8500435604,0.646248
165337872,-1.064159922553907,1.9510759959130275,250873.10412549978,3813396.826899206,2.2224162262272
165450118,-0.09877085435524643,2.3307719558998743,251093.41190694462,3813401.4655804588,2.3328638177312
165498127,-0.7682790556240101,0.7164270695219908,250882.25808226728,3813172.89574118,1.0504858177312002
165450117,-0.6820239102754658,2.774865151855734,250977.00459488892,3813508.4750254094,2.8574522262272
165498129,-1.1533434229117545,1.076943786538756,250766.18852966937,3813281.5638527046,1.5779762262272001
165337876,-1.5198139383488243,2.335326269679677,250757.70235358507,3813503.179599736,2.7863207268825603
165337882,-1.9971940165803115,2.780760282556032,250645.48896798873,3813608.282899357,3.4236547268825603
165450113,-1.1825641005486527,3.1309089147718,250864.16825058145,3813615.1241150727,3.3467967498048004
165592171,-1.6401190806060653,1.9518224271095974,250703.48126411095,3813444.864123782,2.54943158086976
165450111,-1.659309938432501,3.498444938908039,250749.67837636103,3813722.784897474,3.8720054832544006
165337883,-2.315347294020148,3.006756313287708,250529.84635897103,3813714.723054761,3.7949198436096
